Date,Open,High,Low,Close,Volume,Ticker
2022-10-03,805.0,829.0,780.0,829.0,140300,3694
2022-10-04,830.0,854.0,824.0,849.0,112800,3694
2022-10-05,869.0,873.0,850.0,850.0,86900,3694
2022-10-06,850.0,872.0,842.0,862.0,82200,3694
2022-10-07,850.0,866.0,849.0,856.0,69400,3694
2022-10-11,835.0,841.0,822.0,830.0,112700,3694
2022-10-12,820.0,827.0,809.0,812.0,83300,3694
2022-10-13,812.0,814.0,784.0,787.0,148700,3694
2022-10-14,802.0,842.0,801.0,838.0,178800,3694
2022-10-17,820.0,839.0,820.0,835.0,91000,3694
2022-10-18,855.0,892.0,854.0,887.0,228100,3694
2022-10-19,880.0,888.0,861.0,861.0,88000,3694
2022-10-20,862.0,878.0,861.0,870.0,134600,3694
2022-10-21,871.0,873.0,855.0,857.0,69200,3694
2022-10-24,872.0,882.0,865.0,880.0,55000,3694
2022-10-25,873.0,893.0,867.0,873.0,73200,3694
2022-10-26,888.0,915.0,888.0,895.0,143500,3694
2022-10-27,900.0,900.0,881.0,888.0,63000,3694
2022-10-28,888.0,907.0,884.0,907.0,213700,3694
2022-10-31,920.0,921.0,900.0,905.0,100900,3694
2022-11-01,914.0,914.0,896.0,902.0,54900,3694
2022-11-02,905.0,905.0,881.0,887.0,87300,3694
2022-11-04,870.0,875.0,864.0,869.0,66400,3694
2022-11-07,871.0,895.0,865.0,893.0,57700,3694
2022-11-08,902.0,944.0,902.0,942.0,194600,3694
2022-11-09,944.0,950.0,918.0,922.0,88000,3694
2022-11-10,916.0,921.0,905.0,921.0,79400,3694
2022-11-11,948.0,975.0,947.0,974.0,237100,3694
2022-11-14,959.0,1020.0,955.0,1007.0,301000,3694
2022-11-15,1037.0,1131.0,1029.0,1128.0,555400,3694
2022-11-16,1160.0,1197.0,1122.0,1178.0,402300,3694
2022-11-17,1178.0,1178.0,1121.0,1146.0,263200,3694
2022-11-18,1147.0,1172.0,1137.0,1148.0,162200,3694
2022-11-21,1150.0,1182.0,1143.0,1178.0,171500,3694
2022-11-22,1182.0,1200.0,1157.0,1165.0,209500,3694
2022-11-24,1168.0,1270.0,1168.0,1243.0,359200,3694
2022-11-25,1269.0,1279.0,1213.0,1224.0,210900,3694
2022-11-28,1214.0,1223.0,1177.0,1199.0,164400,3694
2022-11-29,1190.0,1201.0,1178.0,1195.0,101400,3694
2022-11-30,1187.0,1191.0,1155.0,1162.0,121900,3694
2022-12-01,1216.0,1235.0,1177.0,1186.0,121400,3694
2022-12-02,1189.0,1204.0,1181.0,1188.0,111000,3694
2022-12-05,1185.0,1201.0,1166.0,1178.0,96900,3694
2022-12-06,1155.0,1157.0,1118.0,1120.0,164800,3694
2022-12-07,1115.0,1130.0,1104.0,1124.0,99900,3694
2022-12-08,1120.0,1122.0,1101.0,1118.0,89700,3694
2022-12-09,1127.0,1145.0,1108.0,1140.0,110400,3694
2022-12-12,1140.0,1155.0,1111.0,1146.0,112100,3694
2022-12-13,1151.0,1184.0,1148.0,1168.0,144500,3694
2022-12-14,1185.0,1196.0,1165.0,1179.0,176300,3694
2022-12-15,1177.0,1177.0,1142.0,1148.0,152000,3694
2022-12-16,1120.0,1138.0,1112.0,1114.0,193300,3694
2022-12-19,1106.0,1128.0,1075.0,1102.0,143300,3694
2022-12-20,1098.0,1109.0,1023.0,1041.0,227300,3694
2022-12-21,1046.0,1064.0,1036.0,1054.0,127900,3694
2022-12-22,1074.0,1075.0,1023.0,1037.0,153300,3694
2022-12-23,1016.0,1029.0,990.0,1004.0,130800,3694
2022-12-26,999.0,1032.0,993.0,1016.0,188000,3694
2022-12-27,1017.0,1044.0,1017.0,1039.0,83000,3694
2022-12-28,1030.0,1034.0,997.0,1007.0,134800,3694
2022-12-29,1013.0,1038.0,1011.0,1036.0,124500,3694
2022-12-30,1025.0,1045.0,1011.0,1013.0,126700,3694
