Date,Open,High,Low,Close,Volume,Ticker
2022-10-03,883.0,897.5,865.5,891.5,243600,3093
2022-10-04,910.0,961.5,904.0,955.0,733200,3093
2022-10-05,957.5,971.0,887.5,889.0,668000,3093
2022-10-06,869.0,894.0,865.0,878.0,423000,3093
2022-10-07,863.0,870.5,834.0,856.5,722000,3093
2022-10-11,863.5,880.0,835.5,847.5,473200,3093
2022-10-12,848.0,858.0,827.5,832.5,648800,3093
2022-10-13,932.5,1032.5,914.0,1029.0,13574600,3093
2022-10-14,1054.0,1105.0,1039.0,1091.5,7167000,3093
2022-10-17,1066.5,1101.5,1046.5,1051.0,2183800,3093
2022-10-18,1059.5,1086.0,1027.5,1086.0,1596600,3093
2022-10-19,1090.5,1112.5,1063.5,1063.5,994800,3093
2022-10-20,1067.5,1085.0,1055.0,1063.5,736400,3093
2022-10-21,1075.0,1092.0,1060.0,1090.0,710800,3093
2022-10-24,1100.0,1110.0,1046.5,1075.0,1055400,3093
2022-10-25,1075.0,1096.5,1061.5,1086.5,518800,3093
2022-10-26,1086.5,1119.5,1080.5,1114.5,908800,3093
2022-10-27,1128.0,1153.0,1111.0,1112.5,1261200,3093
2022-10-28,1115.0,1139.0,1095.5,1097.0,665600,3093
2022-10-31,1097.5,1115.0,1077.0,1115.0,454400,3093
2022-11-01,1115.0,1117.0,1081.0,1084.0,365600,3093
2022-11-02,1076.5,1080.5,1055.5,1062.0,392400,3093
2022-11-04,1055.0,1075.5,1051.0,1061.5,288000,3093
2022-11-07,1061.5,1097.5,1043.5,1097.5,629800,3093
2022-11-08,1110.5,1115.0,1085.0,1086.5,364200,3093
2022-11-09,1125.0,1177.5,1102.5,1143.5,1406000,3093
2022-11-10,1144.0,1152.5,1087.5,1091.0,645000,3093
2022-11-11,1082.5,1091.0,1053.0,1084.0,701600,3093
2022-11-14,1071.0,1071.0,1026.0,1028.0,666800,3093
2022-11-15,1024.5,1040.5,1007.5,1032.0,493200,3093
2022-11-16,1031.0,1043.0,1014.0,1029.5,449600,3093
2022-11-17,1041.5,1077.5,1031.0,1063.0,438000,3093
2022-11-18,1054.5,1132.0,1052.0,1128.0,588000,3093
2022-11-21,1135.0,1166.5,1117.5,1119.5,553400,3093
2022-11-22,1108.5,1138.5,1090.5,1113.5,435800,3093
2022-11-24,1117.0,1131.5,1097.5,1109.5,379400,3093
2022-11-25,1116.5,1124.5,1088.0,1088.5,254600,3093
2022-11-28,1098.0,1131.5,1080.0,1130.0,309000,3093
2022-11-29,1128.0,1186.5,1124.0,1186.0,939800,3093
2022-11-30,1189.5,1203.0,1162.5,1198.0,599800,3093
2022-12-01,1204.0,1211.5,1184.0,1204.0,451800,3093
2022-12-02,1195.0,1195.0,1172.5,1191.5,344800,3093
2022-12-05,1173.5,1184.5,1141.0,1157.5,455000,3093
2022-12-06,1152.5,1156.0,1130.0,1150.5,222600,3093
2022-12-07,1141.5,1173.5,1137.0,1168.0,163800,3093
2022-12-08,1175.5,1189.0,1165.5,1188.5,280000,3093
2022-12-09,1176.0,1288.5,1176.0,1285.0,1521800,3093
2022-12-12,1285.0,1305.0,1232.5,1247.0,927400,3093
2022-12-13,1272.0,1310.0,1256.0,1269.0,764200,3093
2022-12-14,1265.0,1282.0,1223.0,1239.0,497200,3093
2022-12-15,1221.0,1278.5,1217.5,1245.5,332400,3093
2022-12-16,1235.5,1262.5,1228.0,1262.5,316000,3093
2022-12-19,1251.5,1273.0,1237.0,1247.5,290400,3093
2022-12-20,1253.0,1254.5,1178.5,1216.5,505000,3093
2022-12-21,1197.5,1236.5,1186.5,1233.0,278800,3093
2022-12-22,1248.5,1279.0,1238.0,1279.0,476400,3093
2022-12-23,1293.5,1319.5,1242.5,1247.5,505800,3093
2022-12-26,1232.5,1277.5,1226.0,1263.5,371200,3093
2022-12-27,1275.0,1312.0,1270.0,1299.5,661200,3093
2022-12-28,1315.0,1317.5,1247.5,1273.0,635400,3093
2022-12-29,1267.5,1281.5,1254.0,1257.5,233600,3093
2022-12-30,1251.5,1256.0,1213.0,1221.0,614000,3093
