Date,Open,High,Low,Close,Volume,Ticker
2022-10-03,1405.0,1467.0,1401.0,1450.0,17600,9731
2022-10-04,1442.0,1462.0,1437.0,1442.0,6300,9731
2022-10-05,1465.0,1476.0,1425.0,1476.0,9500,9731
2022-10-06,1469.0,1482.0,1457.0,1479.0,7300,9731
2022-10-07,1461.0,1482.0,1461.0,1470.0,15700,9731
2022-10-11,1451.0,1462.0,1445.0,1445.0,10800,9731
2022-10-12,1462.0,1478.0,1440.0,1470.0,10200,9731
2022-10-13,1494.0,1550.0,1476.0,1550.0,14300,9731
2022-10-14,1565.0,1637.0,1560.0,1561.0,58100,9731
2022-10-17,1539.0,1666.0,1539.0,1660.0,14600,9731
2022-10-18,1660.0,1665.0,1630.0,1655.0,15400,9731
2022-10-19,1650.0,1650.0,1586.0,1648.0,10800,9731
2022-10-20,1647.0,1647.0,1622.0,1629.0,6400,9731
2022-10-21,1629.0,1629.0,1576.0,1576.0,8100,9731
2022-10-24,1577.0,1577.0,1515.0,1521.0,10300,9731
2022-10-25,1522.0,1593.0,1522.0,1575.0,6100,9731
2022-10-26,1593.0,1593.0,1555.0,1562.0,4400,9731
2022-10-27,1562.0,1590.0,1505.0,1557.0,4600,9731
2022-10-28,1557.0,1560.0,1514.0,1514.0,12200,9731
2022-10-31,1515.0,1532.0,1480.0,1515.0,17200,9731
2022-11-01,1518.0,1558.0,1518.0,1554.0,5800,9731
2022-11-02,1594.0,1621.0,1584.0,1587.0,8800,9731
2022-11-04,1626.0,1626.0,1532.0,1532.0,5400,9731
2022-11-07,1532.0,1599.0,1532.0,1586.0,4500,9731
2022-11-08,1596.0,1607.0,1557.0,1560.0,5700,9731
2022-11-09,1596.0,1599.0,1559.0,1559.0,4500,9731
2022-11-10,1559.0,1612.0,1550.0,1597.0,10100,9731
2022-11-11,1617.0,1620.0,1535.0,1547.0,18000,9731
2022-11-14,1787.0,1787.0,1670.0,1722.0,65300,9731
2022-11-15,1720.0,1740.0,1676.0,1710.0,20700,9731
2022-11-16,1710.0,1730.0,1676.0,1712.0,10500,9731
2022-11-17,1719.0,1845.0,1717.0,1834.0,43600,9731
2022-11-18,1832.0,1890.0,1812.0,1869.0,20000,9731
2022-11-21,1856.0,1949.0,1850.0,1905.0,21300,9731
2022-11-22,1933.0,1945.0,1882.0,1905.0,13100,9731
2022-11-24,1909.0,2000.0,1904.0,1986.0,19400,9731
2022-11-25,1997.0,2065.0,1997.0,2060.0,27700,9731
2022-11-28,2082.0,2200.0,2033.0,2041.0,21100,9731
2022-11-29,2020.0,2062.0,1981.0,1981.0,17600,9731
2022-11-30,1981.0,2000.0,1975.0,1988.0,7500,9731
2022-12-01,2013.0,2013.0,1965.0,1973.0,7300,9731
2022-12-02,1963.0,1963.0,1921.0,1921.0,7600,9731
2022-12-05,1919.0,1929.0,1860.0,1887.0,10700,9731
2022-12-06,1887.0,1887.0,1860.0,1876.0,5600,9731
2022-12-07,1916.0,1923.0,1892.0,1907.0,3200,9731
2022-12-08,1947.0,1949.0,1906.0,1912.0,5300,9731
2022-12-09,1915.0,1963.0,1904.0,1950.0,7800,9731
2022-12-12,1950.0,1970.0,1922.0,1922.0,8200,9731
2022-12-13,1922.0,1949.0,1922.0,1928.0,8500,9731
2022-12-14,1940.0,2085.0,1940.0,2057.0,26500,9731
2022-12-15,2050.0,2125.0,2050.0,2114.0,12600,9731
2022-12-16,2079.0,2100.0,2009.0,2031.0,12700,9731
2022-12-19,2029.0,2029.0,1765.0,1830.0,134000,9731
2022-12-20,1812.0,1817.0,1661.0,1765.0,64900,9731
2022-12-21,1749.0,1780.0,1722.0,1758.0,16900,9731
2022-12-22,1795.0,1797.0,1761.0,1762.0,16800,9731
2022-12-23,1750.0,1779.0,1750.0,1754.0,12900,9731
2022-12-26,1754.0,1782.0,1754.0,1760.0,40800,9731
2022-12-27,1762.0,1795.0,1750.0,1779.0,23400,9731
2022-12-28,1779.0,1809.0,1763.0,1786.0,30100,9731
2022-12-29,1785.0,1875.0,1775.0,1781.0,39500,9731
2022-12-30,1787.0,1793.0,1749.0,1769.0,11500,9731
