Date,Open,High,Low,Close,Volume,Ticker
2022-10-03,3225.0,3265.0,3115.0,3245.0,101800,9279
2022-10-04,3245.0,3290.0,3190.0,3285.0,75800,9279
2022-10-05,3330.0,3370.0,3210.0,3330.0,100100,9279
2022-10-06,3300.0,3380.0,3280.0,3350.0,113600,9279
2022-10-07,3310.0,3375.0,3235.0,3265.0,91600,9279
2022-10-11,3280.0,3340.0,3225.0,3320.0,89200,9279
2022-10-12,3300.0,3345.0,3270.0,3325.0,76200,9279
2022-10-13,3295.0,3300.0,3210.0,3245.0,69400,9279
2022-10-14,3305.0,3350.0,3280.0,3320.0,62600,9279
2022-10-17,3255.0,3300.0,3230.0,3260.0,34800,9279
2022-10-18,3300.0,3395.0,3240.0,3395.0,124400,9279
2022-10-19,3355.0,3400.0,3240.0,3245.0,91700,9279
2022-10-20,3175.0,3175.0,3055.0,3115.0,132900,9279
2022-10-21,3100.0,3115.0,3050.0,3065.0,66500,9279
2022-10-24,3110.0,3155.0,3080.0,3080.0,86300,9279
2022-10-25,3090.0,3150.0,3080.0,3095.0,55300,9279
2022-10-26,3145.0,3205.0,3130.0,3180.0,85800,9279
2022-10-27,3165.0,3320.0,3165.0,3315.0,308100,9279
2022-10-28,3350.0,3515.0,3305.0,3475.0,277000,9279
2022-10-31,3390.0,3460.0,3350.0,3460.0,66800,9279
2022-11-01,3435.0,3565.0,3435.0,3565.0,48900,9279
2022-11-02,3615.0,3775.0,3595.0,3740.0,115200,9279
2022-11-04,3750.0,3825.0,3725.0,3750.0,55100,9279
2022-11-07,3780.0,3800.0,3705.0,3750.0,59600,9279
2022-11-08,3760.0,3805.0,3735.0,3745.0,57400,9279
2022-11-09,3700.0,3785.0,3685.0,3735.0,44400,9279
2022-11-10,3740.0,3820.0,3735.0,3760.0,39300,9279
2022-11-11,3785.0,3830.0,3570.0,3600.0,75300,9279
2022-11-14,3600.0,3655.0,3575.0,3625.0,51200,9279
2022-11-15,3555.0,3585.0,3465.0,3565.0,63500,9279
2022-11-16,3560.0,3560.0,3470.0,3480.0,49000,9279
2022-11-17,3450.0,3725.0,3425.0,3715.0,90100,9279
2022-11-18,3715.0,3740.0,3670.0,3740.0,33200,9279
2022-11-21,3670.0,3790.0,3670.0,3750.0,34000,9279
2022-11-22,3740.0,3805.0,3710.0,3770.0,39800,9279
2022-11-24,3770.0,3810.0,3770.0,3770.0,25900,9279
2022-11-25,3800.0,3990.0,3800.0,3980.0,90300,9279
2022-11-28,3975.0,3980.0,3880.0,3960.0,63200,9279
2022-11-29,3900.0,4100.0,3885.0,4100.0,74300,9279
2022-11-30,4100.0,4125.0,3935.0,3950.0,79300,9279
2022-12-01,4010.0,4010.0,3845.0,3855.0,47800,9279
2022-12-02,3845.0,3845.0,3750.0,3845.0,48900,9279
2022-12-05,3775.0,3825.0,3755.0,3785.0,33400,9279
2022-12-06,3815.0,3815.0,3705.0,3745.0,42500,9279
2022-12-07,3680.0,3775.0,3665.0,3760.0,42900,9279
2022-12-08,3765.0,3855.0,3755.0,3835.0,36700,9279
2022-12-09,3870.0,3925.0,3840.0,3840.0,32400,9279
2022-12-12,3870.0,3870.0,3750.0,3770.0,61100,9279
2022-12-13,3770.0,3820.0,3765.0,3805.0,42400,9279
2022-12-14,3740.0,3825.0,3630.0,3820.0,105500,9279
2022-12-15,3835.0,3885.0,3780.0,3815.0,78400,9279
2022-12-16,3715.0,4050.0,3585.0,4045.0,209500,9279
2022-12-19,3995.0,4160.0,3990.0,4060.0,126000,9279
2022-12-20,4100.0,4100.0,3800.0,3885.0,88700,9279
2022-12-21,3875.0,4050.0,3875.0,4030.0,74600,9279
2022-12-22,4015.0,4065.0,3960.0,4025.0,43000,9279
2022-12-23,4035.0,4145.0,3980.0,4080.0,58300,9279
2022-12-26,4045.0,4130.0,4025.0,4130.0,30800,9279
2022-12-27,4175.0,4415.0,4175.0,4375.0,119300,9279
2022-12-28,4340.0,4420.0,4235.0,4260.0,79800,9279
2022-12-29,4230.0,4300.0,4190.0,4265.0,36300,9279
2022-12-30,4250.0,4285.0,4145.0,4155.0,48200,9279
