Date,Open,High,Low,Close,Volume,Ticker
2022-10-03,169.0,169.0,167.0,168.0,13400,6048
2022-10-04,169.0,172.0,169.0,172.0,6000,6048
2022-10-05,170.0,173.0,170.0,173.0,22200,6048
2022-10-06,173.0,177.0,173.0,176.0,19800,6048
2022-10-07,173.0,175.0,173.0,173.0,10500,6048
2022-10-11,173.0,173.0,170.0,170.0,14000,6048
2022-10-12,170.0,173.0,170.0,173.0,9900,6048
2022-10-13,171.0,175.0,170.0,171.0,27300,6048
2022-10-14,172.0,179.0,172.0,179.0,38500,6048
2022-10-17,175.0,213.0,171.0,186.0,1380200,6048
2022-10-18,190.0,232.0,190.0,210.0,12030000,6048
2022-10-19,222.0,269.0,221.0,254.0,18585200,6048
2022-10-20,240.0,249.0,222.0,225.0,2715700,6048
2022-10-21,220.0,223.0,206.0,209.0,1417800,6048
2022-10-24,212.0,233.0,206.0,227.0,1851100,6048
2022-10-25,220.0,229.0,211.0,215.0,668200,6048
2022-10-26,211.0,212.0,203.0,206.0,319700,6048
2022-10-27,208.0,218.0,204.0,211.0,241100,6048
2022-10-28,208.0,222.0,206.0,210.0,340700,6048
2022-10-31,210.0,212.0,205.0,208.0,168000,6048
2022-11-01,208.0,212.0,205.0,207.0,150300,6048
2022-11-02,209.0,209.0,202.0,203.0,111600,6048
2022-11-04,203.0,205.0,202.0,203.0,97700,6048
2022-11-07,205.0,212.0,203.0,209.0,104500,6048
2022-11-08,211.0,214.0,209.0,209.0,70800,6048
2022-11-09,209.0,210.0,204.0,204.0,64200,6048
2022-11-10,203.0,208.0,203.0,204.0,70800,6048
2022-11-11,205.0,214.0,203.0,206.0,153500,6048
2022-11-14,206.0,208.0,202.0,203.0,83600,6048
2022-11-15,205.0,206.0,203.0,203.0,78100,6048
2022-11-16,203.0,212.0,203.0,210.0,96200,6048
2022-11-17,208.0,212.0,203.0,205.0,87800,6048
2022-11-18,210.0,233.0,198.0,198.0,1393800,6048
2022-11-21,197.0,197.0,190.0,191.0,238900,6048
2022-11-22,196.0,200.0,195.0,197.0,119500,6048
2022-11-24,198.0,204.0,196.0,202.0,145600,6048
2022-11-25,202.0,205.0,201.0,202.0,70900,6048
2022-11-28,204.0,204.0,198.0,199.0,82000,6048
2022-11-29,199.0,203.0,197.0,199.0,80000,6048
2022-11-30,201.0,201.0,197.0,197.0,58300,6048
2022-12-01,199.0,201.0,196.0,198.0,69200,6048
2022-12-02,197.0,200.0,196.0,200.0,41400,6048
2022-12-05,198.0,200.0,197.0,197.0,33800,6048
2022-12-06,198.0,198.0,194.0,195.0,52000,6048
2022-12-07,195.0,197.0,194.0,195.0,28100,6048
2022-12-08,196.0,197.0,191.0,194.0,84300,6048
2022-12-09,196.0,201.0,192.0,200.0,94500,6048
2022-12-12,199.0,217.0,197.0,212.0,391100,6048
2022-12-13,214.0,221.0,206.0,206.0,275600,6048
2022-12-14,211.0,220.0,209.0,216.0,234400,6048
2022-12-15,211.0,224.0,211.0,216.0,296300,6048
2022-12-16,210.0,214.0,208.0,210.0,119900,6048
2022-12-19,212.0,212.0,203.0,209.0,73700,6048
2022-12-20,211.0,213.0,198.0,202.0,117000,6048
2022-12-21,200.0,205.0,197.0,198.0,68000,6048
2022-12-22,203.0,212.0,199.0,210.0,100000,6048
2022-12-23,209.0,209.0,203.0,203.0,47100,6048
2022-12-26,202.0,204.0,199.0,200.0,29800,6048
2022-12-27,200.0,207.0,200.0,206.0,39500,6048
2022-12-28,205.0,206.0,201.0,204.0,40600,6048
2022-12-29,202.0,208.0,201.0,208.0,28000,6048
2022-12-30,210.0,213.0,208.0,211.0,31700,6048
