Date,Open,High,Low,Close,Volume,Ticker
2022-10-03,4870.0,4940.0,4845.0,4935.0,40500,6516
2022-10-04,5020.0,5050.0,5010.0,5020.0,22100,6516
2022-10-05,5100.0,5120.0,5040.0,5060.0,30200,6516
2022-10-06,5080.0,5140.0,5080.0,5080.0,17900,6516
2022-10-07,4990.0,5110.0,4990.0,5070.0,19100,6516
2022-10-11,4975.0,4980.0,4875.0,4875.0,35100,6516
2022-10-12,4875.0,4880.0,4760.0,4785.0,33700,6516
2022-10-13,4785.0,4800.0,4710.0,4775.0,30100,6516
2022-10-14,4850.0,4900.0,4800.0,4845.0,37700,6516
2022-10-17,4775.0,4850.0,4765.0,4840.0,68400,6516
2022-10-18,4925.0,4965.0,4875.0,4945.0,25000,6516
2022-10-19,4925.0,4965.0,4910.0,4910.0,11700,6516
2022-10-20,4890.0,4890.0,4810.0,4850.0,28200,6516
2022-10-21,4860.0,4870.0,4820.0,4820.0,20500,6516
2022-10-24,4900.0,4940.0,4860.0,4875.0,16900,6516
2022-10-25,4915.0,5020.0,4915.0,4960.0,25100,6516
2022-10-26,5030.0,5030.0,4960.0,4960.0,20600,6516
2022-10-27,4960.0,5010.0,4960.0,5010.0,21200,6516
2022-10-28,5310.0,5380.0,5220.0,5270.0,180000,6516
2022-10-31,5330.0,5510.0,5210.0,5450.0,120600,6516
2022-11-01,5490.0,5770.0,5470.0,5750.0,94900,6516
2022-11-02,5660.0,5750.0,5620.0,5700.0,67900,6516
2022-11-04,5650.0,5890.0,5640.0,5860.0,74800,6516
2022-11-07,5900.0,5900.0,5790.0,5850.0,48600,6516
2022-11-08,6000.0,6250.0,6000.0,6050.0,112200,6516
2022-11-09,6050.0,6070.0,5920.0,6060.0,44000,6516
2022-11-10,5940.0,6080.0,5940.0,6000.0,30700,6516
2022-11-11,6100.0,6170.0,6050.0,6170.0,35300,6516
2022-11-14,6070.0,6160.0,6050.0,6050.0,26400,6516
2022-11-15,6080.0,6260.0,6040.0,6250.0,35200,6516
2022-11-16,6200.0,6250.0,6130.0,6240.0,36600,6516
2022-11-17,6190.0,6190.0,6110.0,6130.0,27400,6516
2022-11-18,6200.0,6200.0,6080.0,6120.0,46300,6516
2022-11-21,6200.0,6200.0,6050.0,6090.0,52000,6516
2022-11-22,6100.0,6140.0,6040.0,6060.0,35700,6516
2022-11-24,6130.0,6220.0,6100.0,6130.0,38500,6516
2022-11-25,6150.0,6200.0,6100.0,6160.0,28700,6516
2022-11-28,6100.0,6130.0,6060.0,6090.0,26600,6516
2022-11-29,5990.0,6110.0,5950.0,6110.0,46800,6516
2022-11-30,6110.0,6220.0,6080.0,6200.0,48400,6516
2022-12-01,6300.0,6310.0,6180.0,6190.0,26300,6516
2022-12-02,6130.0,6130.0,6040.0,6050.0,30500,6516
2022-12-05,6050.0,6130.0,6030.0,6090.0,18400,6516
2022-12-06,6070.0,6170.0,6050.0,6170.0,28500,6516
2022-12-07,6090.0,6130.0,6000.0,6000.0,26200,6516
2022-12-08,6100.0,6120.0,5990.0,6010.0,40300,6516
2022-12-09,6090.0,6090.0,5990.0,6030.0,48600,6516
2022-12-12,6000.0,6060.0,6000.0,6040.0,13600,6516
2022-12-13,6090.0,6170.0,6070.0,6110.0,30800,6516
2022-12-14,6170.0,6170.0,6080.0,6120.0,15500,6516
2022-12-15,6100.0,6130.0,6070.0,6110.0,16500,6516
2022-12-16,6010.0,6090.0,5950.0,5950.0,58200,6516
2022-12-19,5950.0,6030.0,5850.0,5870.0,51800,6516
2022-12-20,5910.0,5930.0,5660.0,5730.0,57600,6516
2022-12-21,5720.0,5720.0,5550.0,5640.0,58500,6516
2022-12-22,5740.0,5770.0,5640.0,5640.0,25800,6516
2022-12-23,5590.0,5600.0,5500.0,5530.0,22000,6516
2022-12-26,5590.0,5720.0,5580.0,5700.0,29400,6516
2022-12-27,5720.0,5720.0,5620.0,5650.0,16100,6516
2022-12-28,5620.0,5710.0,5620.0,5700.0,18200,6516
2022-12-29,5690.0,5740.0,5640.0,5730.0,23000,6516
2022-12-30,5760.0,5850.0,5710.0,5730.0,27100,6516
