Date,Open,High,Low,Close,Volume,MA,Drop,Stagnation,Recovery
2022-11-17,4650.0,4820.0,4600.0,4730.0,581000,,False,False,False
2022-11-18,4690.0,4740.0,4625.0,4680.0,360300,,False,False,False
2022-11-21,4600.0,4630.0,4500.0,4565.0,374300,,False,False,False
2022-11-22,4520.0,4555.0,4355.0,4410.0,389200,,False,False,False
2022-11-24,4470.0,4570.0,4470.0,4545.0,319800,,False,False,False
2022-11-25,4600.0,4730.0,4525.0,4690.0,401100,,False,False,False
2022-11-28,4750.0,4790.0,4655.0,4660.0,225600,4611.428571428572,False,False,False
2022-11-29,4630.0,4630.0,4530.0,4610.0,198300,4594.285714285715,False,False,False
2022-11-30,4610.0,4610.0,4460.0,4575.0,278800,4579.285714285715,False,False,False
2022-12-01,4720.0,4745.0,4540.0,4560.0,321800,4578.571428571428,False,False,False
2022-12-02,4570.0,4570.0,4445.0,4445.0,195500,4583.571428571428,False,False,False
2022-12-05,4425.0,4555.0,4375.0,4420.0,179300,4565.714285714285,False,False,False
2022-12-06,4350.0,4375.0,4105.0,4160.0,422400,4490.0,False,False,False
2022-12-07,4020.0,4325.0,3960.0,4290.0,385300,4437.142857142857,False,False,False
2022-12-08,4190.0,4390.0,4185.0,4340.0,255500,4398.571428571428,False,False,False
2022-12-09,4305.0,4345.0,4240.0,4320.0,214100,4362.142857142857,False,False,False
2022-12-12,4250.0,4365.0,4230.0,4290.0,143500,4323.571428571428,False,False,False
2022-12-13,4320.0,4360.0,4245.0,4330.0,158400,4307.142857142857,False,False,False
2022-12-14,4340.0,4380.0,4120.0,4160.0,323800,4270.0,False,False,False
2022-12-15,4175.0,4315.0,4110.0,4270.0,269300,4285.714285714285,False,False,False
2022-12-16,4185.0,4255.0,4115.0,4145.0,245100,4265.0,False,False,False
2022-12-19,4130.0,4240.0,4110.0,4215.0,212600,4247.142857142857,False,False,False
2022-12-20,4120.0,4170.0,3700.0,3790.0,704000,4171.428571428572,False,False,False
2022-12-21,3750.0,3750.0,3485.0,3490.0,869800,4057.1428571428573,False,False,False
2022-12-22,3590.0,3600.0,3420.0,3545.0,528800,3945.0,False,False,False
2022-12-23,3475.0,3475.0,3245.0,3255.0,597000,3815.714285714286,True,False,False
2022-12-26,3280.0,3480.0,3225.0,3420.0,564900,3694.285714285714,True,False,False
2022-12-27,3480.0,3685.0,3480.0,3635.0,477800,3621.4285714285716,True,False,False
2022-12-28,3565.0,3565.0,3315.0,3345.0,515100,3497.1428571428573,True,False,False
2022-12-29,3300.0,3455.0,3265.0,3355.0,441600,3435.0,True,False,False
2022-12-30,3455.0,3515.0,3310.0,3310.0,417000,3409.285714285714,True,False,False
2023-01-04,3255.0,3295.0,3120.0,3215.0,388200,3362.1428571428573,True,False,False
2023-01-05,3280.0,3330.0,3175.0,3195.0,264500,3353.5714285714284,True,False,False
2023-01-06,3140.0,3145.0,3040.0,3095.0,345900,3307.1428571428573,True,False,False
2023-01-10,3215.0,3330.0,3125.0,3310.0,320100,3260.714285714286,False,False,False
2023-01-11,3375.0,3615.0,3340.0,3590.0,429100,3295.714285714286,False,False,False
2023-01-12,3635.0,3690.0,3505.0,3580.0,411800,3327.8571428571427,False,False,False
2023-01-13,3530.0,3680.0,3525.0,3545.0,266000,3361.4285714285716,False,True,False
2023-01-16,3420.0,3510.0,3415.0,3470.0,229900,3397.8571428571427,False,True,False
2023-01-17,3450.0,3585.0,3420.0,3535.0,180300,3446.4285714285716,False,False,False
2023-01-18,3600.0,3720.0,3440.0,3705.0,452300,3533.5714285714284,False,False,False
2023-01-19,3650.0,3770.0,3620.0,3710.0,332800,3590.714285714286,False,False,False
2023-01-20,3670.0,3775.0,3645.0,3770.0,208800,3616.4285714285716,False,False,False
2023-01-23,3890.0,4085.0,3840.0,3925.0,574100,3665.714285714286,False,False,False
2023-01-24,3925.0,3955.0,3810.0,3870.0,273600,3712.1428571428573,False,False,True
2023-01-25,3855.0,3995.0,3835.0,3950.0,160300,3780.714285714286,False,False,True
