Date,Open,High,Low,Close,Volume,MA,Drop,Stagnation,Recovery
2022-12-15,2097.0,2169.0,2080.0,2136.0,348800,,False,False,False
2022-12-16,2124.0,2160.0,2111.0,2127.0,241400,,False,False,False
2022-12-19,2134.0,2146.0,2090.0,2103.0,226200,,False,False,False
2022-12-20,2098.0,2106.0,2000.0,2019.0,306800,,False,False,False
2022-12-21,2024.0,2118.0,1988.0,2066.0,334600,,False,False,False
2022-12-22,2063.0,2119.0,2052.0,2104.0,174400,,False,False,False
2022-12-23,2094.0,2100.0,2053.0,2078.0,158600,2090.4285714285716,False,False,False
2022-12-26,2073.0,2103.0,2012.0,2036.0,200700,2076.1428571428573,False,False,False
2022-12-27,2056.0,2129.0,2052.0,2098.0,179000,2072.0,False,False,False
2022-12-28,2094.0,2097.0,2053.0,2083.0,115500,2069.1428571428573,False,False,False
2022-12-29,2068.0,2110.0,2032.0,2109.0,160500,2082.0,False,False,False
2022-12-30,2115.0,2156.0,2110.0,2120.0,167800,2089.714285714286,False,False,False
2023-01-04,2101.0,2101.0,1970.0,1973.0,342800,2071.0,False,False,False
2023-01-05,1980.0,1980.0,1847.0,1873.0,454200,2041.7142857142858,False,False,False
2023-01-06,1849.0,1851.0,1769.0,1786.0,491300,2006.0,False,False,False
2023-01-10,1790.0,1893.0,1790.0,1875.0,247600,1974.142857142857,False,False,False
2023-01-11,1910.0,1965.0,1901.0,1956.0,283700,1956.0,False,False,False
2023-01-12,1940.0,1943.0,1779.0,1785.0,375600,1909.7142857142858,False,False,False
2023-01-13,1756.0,1765.0,1718.0,1741.0,364500,1855.5714285714287,True,False,False
2023-01-16,1726.0,1759.0,1710.0,1716.0,181400,1818.857142857143,True,False,False
2023-01-17,1716.0,1782.0,1715.0,1737.0,169600,1799.4285714285713,True,False,False
2023-01-18,1709.0,1793.0,1690.0,1761.0,190400,1795.857142857143,True,False,False
2023-01-19,1739.0,1777.0,1727.0,1760.0,129600,1779.4285714285713,False,False,False
2023-01-20,1771.0,1837.0,1764.0,1802.0,181400,1757.4285714285713,True,False,False
