Date,Open,High,Low,Close,Volume,MA,Drop,Stagnation,Recovery
2022-11-08,4580.0,4735.0,4455.0,4720.0,5061600,,False,False,False
2022-11-09,4720.0,4850.0,4655.0,4700.0,3655800,,False,False,False
2022-11-10,4630.0,4745.0,4385.0,4460.0,4509500,,False,False,False
2022-11-11,4650.0,4650.0,4220.0,4370.0,5263300,,False,False,False
2022-11-14,4365.0,4380.0,4035.0,4040.0,4863100,,False,False,False
2022-11-15,4100.0,4115.0,3980.0,4070.0,3452100,,False,False,False
2022-11-16,4095.0,4165.0,4000.0,4010.0,2784700,4338.571428571428,False,False,False
2022-11-17,4000.0,4010.0,3750.0,3780.0,4194700,4204.285714285715,False,False,False
2022-11-18,3895.0,3935.0,3765.0,3805.0,3446500,4076.4285714285716,False,False,False
2022-11-21,3840.0,4015.0,3805.0,3820.0,4279000,3985.0,False,False,False
2022-11-22,3890.0,4030.0,3825.0,3925.0,5046500,3921.4285714285716,False,False,False
2022-11-24,3970.0,4125.0,3880.0,4115.0,4312300,3932.1428571428573,False,False,False
2022-11-25,4150.0,4255.0,3935.0,4090.0,6827600,3935.0,False,False,False
2022-11-28,4045.0,4090.0,3890.0,4040.0,3820400,3939.285714285714,False,False,False
2022-11-29,4020.0,4130.0,3950.0,4125.0,3816000,3988.5714285714284,False,False,False
2022-11-30,4205.0,4280.0,4070.0,4195.0,5551000,4044.285714285714,False,False,False
2022-12-01,4235.0,4275.0,4105.0,4105.0,3862500,4085.0,False,False,False
2022-12-02,4090.0,4155.0,3930.0,3985.0,3367700,4093.5714285714284,False,False,False
2022-12-05,3940.0,4085.0,3920.0,4000.0,2579900,4077.1428571428573,False,False,False
2022-12-06,3930.0,4085.0,3895.0,4050.0,2229600,4071.4285714285716,False,False,False
2022-12-07,4035.0,4275.0,4025.0,4235.0,4525700,4099.285714285715,False,False,False
2022-12-08,4165.0,4190.0,3990.0,4085.0,3475800,4093.5714285714284,False,False,False
2022-12-09,4080.0,4265.0,4065.0,4245.0,3365000,4100.714285714285,False,False,False
2022-12-12,4150.0,4215.0,4030.0,4195.0,3824300,4113.571428571428,False,False,False
2022-12-13,4230.0,4320.0,4150.0,4190.0,3794100,4142.857142857143,False,False,False
2022-12-14,4250.0,4445.0,4160.0,4385.0,5482000,4197.857142857143,False,False,False
2022-12-15,4370.0,4480.0,4325.0,4355.0,4084200,4241.428571428572,False,False,False
2022-12-16,4285.0,4320.0,4205.0,4215.0,3018500,4238.571428571428,False,False,False
2022-12-19,4180.0,4240.0,4110.0,4195.0,2088400,4254.285714285715,False,False,False
2022-12-20,4200.0,4330.0,4005.0,4075.0,4057300,4230.0,False,False,False
2022-12-21,4090.0,4195.0,4045.0,4125.0,2192800,4220.0,False,False,False
2022-12-22,4175.0,4235.0,4040.0,4100.0,2173100,4207.142857142857,False,False,False
2022-12-23,4050.0,4070.0,3825.0,3865.0,3213500,4132.857142857143,False,False,False
2022-12-26,3825.0,4035.0,3800.0,4020.0,1993000,4085.0,False,False,False
2022-12-27,4030.0,4110.0,3965.0,4100.0,2388200,4068.5714285714284,False,False,False
2022-12-28,4060.0,4095.0,3940.0,4025.0,1990800,4044.285714285714,False,False,False
2022-12-29,3965.0,4040.0,3930.0,4005.0,1560600,4034.285714285714,False,False,False
2022-12-30,4040.0,4050.0,3870.0,3880.0,2087400,3999.285714285714,False,False,False
2023-01-04,3800.0,3800.0,3605.0,3625.0,2475800,3931.4285714285716,False,False,False
2023-01-05,3715.0,3740.0,3560.0,3610.0,2414900,3895.0,False,False,False
2023-01-06,3610.0,3750.0,3605.0,3720.0,2106200,3852.1428571428573,False,False,False
2023-01-10,3755.0,3860.0,3710.0,3850.0,1744900,3816.4285714285716,False,False,False
2023-01-11,3885.0,3955.0,3845.0,3900.0,1719100,3798.5714285714284,False,False,False
2023-01-12,3920.0,4010.0,3870.0,3950.0,2034600,3790.714285714286,False,False,False
2023-01-13,3950.0,3965.0,3855.0,3900.0,1515700,3793.5714285714284,False,False,False
2023-01-16,3850.0,3870.0,3745.0,3750.0,1233500,3811.4285714285716,False,False,False
2023-01-17,3745.0,3870.0,3745.0,3845.0,1160700,3845.0,False,False,False
2023-01-18,3805.0,3900.0,3720.0,3880.0,1982600,3867.8571428571427,False,False,False
2023-01-19,3780.0,3780.0,3675.0,3750.0,1947300,3853.5714285714284,False,False,False
2023-01-20,3760.0,3785.0,3720.0,3750.0,1241700,3832.1428571428573,False,False,False
2023-01-23,3820.0,3895.0,3745.0,3895.0,2056600,3824.285714285714,False,False,False
2023-01-24,3920.0,4010.0,3885.0,3970.0,1940600,3834.285714285714,False,False,False
2023-01-25,3920.0,4025.0,3880.0,3920.0,1497300,3858.5714285714284,False,False,False
2023-01-26,3950.0,3960.0,3820.0,3905.0,1430900,3867.1428571428573,False,False,False
2023-01-27,3780.0,3780.0,3585.0,3645.0,4216600,3833.5714285714284,False,False,False
2023-01-30,3580.0,3625.0,3540.0,3590.0,1922100,3810.714285714286,False,False,False
2023-01-31,3600.0,3705.0,3575.0,3665.0,1585700,3798.5714285714284,False,False,False
2023-02-01,3660.0,3720.0,3630.0,3630.0,1110400,3760.714285714286,False,False,False
2023-02-02,3595.0,3640.0,3535.0,3565.0,1092900,3702.8571428571427,False,False,False
2023-02-03,3540.0,3610.0,3530.0,3575.0,970900,3653.5714285714284,False,False,False
2023-02-06,3645.0,3740.0,3645.0,3720.0,1547400,3627.1428571428573,False,False,False
2023-02-07,3720.0,3725.0,3630.0,3645.0,1406700,3627.1428571428573,False,False,False
2023-02-08,3305.0,3450.0,3185.0,3310.0,6060500,3587.1428571428573,False,False,False
2023-02-09,3265.0,3305.0,3195.0,3240.0,2252900,3526.4285714285716,False,False,False
2023-02-10,3235.0,3240.0,3060.0,3080.0,3219900,3447.8571428571427,False,False,False
2023-02-13,3090.0,3190.0,3080.0,3165.0,1530500,3390.714285714286,False,False,False
2023-02-14,3145.0,3220.0,3125.0,3215.0,1260900,3339.285714285714,False,False,False
2023-02-15,3215.0,3250.0,3135.0,3155.0,1194300,3258.5714285714284,True,False,False
2023-02-16,3180.0,3240.0,3155.0,3165.0,1253700,3190.0,True,False,False
2023-02-17,3140.0,3190.0,3110.0,3190.0,836200,3172.8571428571427,True,False,False
2023-02-20,3190.0,3200.0,3035.0,3065.0,1382300,3147.8571428571427,True,False,False
2023-02-21,3080.0,3105.0,2989.0,2989.0,1260800,3134.8571428571427,False,False,False
