Date,Open,High,Low,Close,Volume,MA,Drop,Stagnation,Recovery
2022-12-05,904.0,944.0,900.0,942.0,61700,,False,False,False
2022-12-06,937.0,949.0,921.0,926.0,52000,,False,False,False
2022-12-07,924.0,935.0,904.0,920.0,44800,,False,False,False
2022-12-08,920.0,929.0,896.0,906.0,45900,,False,False,False
2022-12-09,893.0,910.0,875.0,895.0,52900,,False,False,False
2022-12-12,895.0,908.0,879.0,883.0,40800,,False,False,False
2022-12-13,878.0,892.0,844.0,844.0,64600,902.2857142857143,False,False,False
2022-12-14,858.0,876.0,856.0,872.0,27700,892.2857142857143,False,False,False
2022-12-15,891.0,964.0,885.0,931.0,141300,893.0,False,False,False
2022-12-16,920.0,931.0,899.0,910.0,107600,891.5714285714286,False,False,False
2022-12-19,901.0,903.0,852.0,853.0,74200,884.0,False,False,False
2022-12-20,853.0,853.0,793.0,813.0,90800,872.2857142857143,False,False,False
2022-12-21,812.0,821.0,799.0,803.0,30600,860.8571428571429,False,False,False
2022-12-22,805.0,813.0,772.0,796.0,58000,854.0,False,False,False
2022-12-23,783.0,784.0,755.0,772.0,30400,839.7142857142857,False,False,False
2022-12-26,770.0,779.0,757.0,773.0,32500,817.1428571428571,False,False,False
2022-12-27,770.0,787.0,769.0,783.0,48800,799.0,True,False,False
2022-12-28,784.0,793.0,761.0,793.0,40800,790.4285714285714,True,False,False
2022-12-29,789.0,841.0,789.0,838.0,40900,794.0,False,False,False
2022-12-30,843.0,852.0,823.0,825.0,29700,797.1428571428571,False,False,False
2023-01-04,825.0,825.0,785.0,785.0,29200,795.5714285714286,False,False,False
2023-01-05,781.0,786.0,770.0,770.0,20200,795.2857142857143,False,False,False
2023-01-06,769.0,770.0,755.0,766.0,18600,794.2857142857143,False,False,False
2023-01-10,772.0,778.0,765.0,771.0,18700,792.5714285714286,False,True,False
2023-01-11,766.0,789.0,765.0,779.0,24700,790.5714285714286,False,True,False
2023-01-12,780.0,786.0,769.0,781.0,16300,782.4285714285714,False,True,False
