Date,Open,High,Low,Close,Volume,MA,Drop,Stagnation,Recovery
2022-11-21,624.0,629.0,595.0,612.0,338000,,False,False,False
2022-11-22,608.0,608.0,579.0,606.0,289700,,False,False,False
2022-11-24,608.0,618.0,593.0,605.0,149600,,False,False,False
2022-11-25,604.0,623.0,581.0,604.0,231500,,False,False,False
2022-11-28,601.0,603.0,557.0,558.0,243100,,False,False,False
2022-11-29,561.0,563.0,535.0,542.0,214800,,False,False,False
2022-11-30,541.0,541.0,511.0,531.0,252300,579.7142857142857,False,False,False
2022-12-01,534.0,540.0,515.0,525.0,176400,567.2857142857143,False,False,False
2022-12-02,525.0,548.0,521.0,541.0,170900,558.0,False,False,False
2022-12-05,542.0,563.0,521.0,521.0,222000,546.0,False,False,False
2022-12-06,516.0,520.0,470.0,476.0,300200,527.7142857142857,False,False,False
2022-12-07,470.0,495.0,465.0,493.0,153700,518.4285714285714,False,False,False
2022-12-08,493.0,514.0,489.0,513.0,110400,514.2857142857143,False,False,False
2022-12-09,513.0,543.0,513.0,534.0,176500,514.7142857142857,True,False,False
2022-12-12,524.0,543.0,515.0,532.0,76400,515.7142857142857,False,False,False
2022-12-13,533.0,549.0,527.0,529.0,79900,514.0,False,False,False
2022-12-14,526.0,529.0,516.0,523.0,57200,514.2857142857143,False,False,False
2022-12-15,517.0,535.0,517.0,531.0,29000,522.1428571428571,False,False,False
2022-12-16,522.0,539.0,521.0,533.0,40600,527.8571428571429,False,False,False
2022-12-19,527.0,558.0,527.0,537.0,121900,531.2857142857143,False,False,False
2022-12-20,535.0,536.0,482.0,496.0,184100,525.8571428571429,False,False,False
2022-12-21,500.0,506.0,488.0,495.0,51300,520.5714285714286,False,True,False
2022-12-22,492.0,507.0,487.0,490.0,67000,515.0,False,True,False
2022-12-23,490.0,494.0,480.0,485.0,66600,509.57142857142856,False,True,False
2022-12-26,477.0,505.0,477.0,500.0,74500,505.14285714285717,False,False,False
2022-12-27,509.0,519.0,491.0,503.0,73500,500.85714285714283,False,False,False
2022-12-28,500.0,500.0,486.0,486.0,40600,493.57142857142856,False,False,False
2022-12-29,481.0,494.0,477.0,492.0,34500,493.0,False,False,False
2022-12-30,496.0,511.0,491.0,507.0,71700,494.7142857142857,False,False,False
2023-01-04,508.0,508.0,480.0,481.0,56600,493.42857142857144,False,False,False
2023-01-05,480.0,490.0,469.0,473.0,39300,491.7142857142857,False,False,False
2023-01-06,472.0,479.0,470.0,471.0,58100,487.57142857142856,False,False,False
2023-01-10,471.0,483.0,471.0,471.0,22500,483.0,False,False,False
2023-01-11,471.0,478.0,470.0,470.0,22800,480.7142857142857,False,False,False
2023-01-12,470.0,471.0,445.0,451.0,101700,474.85714285714283,False,False,False
2023-01-13,447.0,455.0,445.0,447.0,39000,466.2857142857143,False,False,False
2023-01-16,442.0,449.0,432.0,434.0,53400,459.57142857142856,False,False,False
2023-01-17,437.0,444.0,435.0,438.0,39500,454.57142857142856,False,False,False
2023-01-18,439.0,451.0,437.0,448.0,44100,451.2857142857143,False,False,False
2023-01-19,443.0,474.0,439.0,473.0,81600,451.57142857142856,False,False,False
2023-01-20,475.0,480.0,466.0,479.0,37600,452.85714285714283,False,False,False
2023-01-23,486.0,504.0,474.0,499.0,113900,459.7142857142857,False,False,False
2023-01-24,500.0,503.0,483.0,485.0,80300,465.14285714285717,False,True,False
2023-01-25,493.0,516.0,493.0,497.0,91700,474.14285714285717,False,False,False
2023-01-26,493.0,493.0,483.0,488.0,41700,481.2857142857143,False,False,False
2023-01-27,488.0,491.0,480.0,480.0,29000,485.85714285714283,False,False,False
2023-01-30,480.0,496.0,475.0,490.0,99000,488.2857142857143,False,False,False
2023-01-31,495.0,495.0,480.0,485.0,31200,489.14285714285717,False,False,False
2023-02-01,492.0,511.0,491.0,497.0,77300,488.85714285714283,False,False,False
2023-02-02,499.0,506.0,491.0,495.0,30000,490.2857142857143,False,False,False
2023-02-03,497.0,506.0,495.0,500.0,26100,490.7142857142857,False,False,False
2023-02-06,502.0,514.0,497.0,514.0,38500,494.42857142857144,False,False,False
2023-02-07,515.0,529.0,511.0,524.0,48000,500.7142857142857,False,False,False
2023-02-08,520.0,525.0,512.0,524.0,37500,505.57142857142856,False,False,False
2023-02-09,525.0,536.0,521.0,522.0,75500,510.85714285714283,False,False,False
2023-02-10,521.0,527.0,512.0,512.0,48000,513.0,False,False,False
2023-02-13,512.0,512.0,488.0,510.0,72800,515.1428571428571,False,False,False
2023-02-14,511.0,511.0,491.0,499.0,70000,515.0,False,False,False
2023-02-15,499.0,531.0,486.0,512.0,252800,514.7142857142857,False,False,False
2023-02-16,525.0,568.0,520.0,568.0,383100,521.0,False,False,False
2023-02-17,567.0,600.0,559.0,590.0,357200,530.4285714285714,False,False,False
2023-02-20,590.0,598.0,572.0,581.0,179200,538.8571428571429,False,False,False
2023-02-21,565.0,591.0,553.0,591.0,233600,550.1428571428571,False,False,False
2023-02-22,594.0,613.0,581.0,587.0,206900,561.1428571428571,False,False,False
2023-02-24,585.0,590.0,557.0,562.0,148400,570.1428571428571,False,False,True
2023-02-27,556.0,576.0,553.0,559.0,98700,576.8571428571429,False,False,True
2023-02-28,560.0,598.0,560.0,598.0,139000,581.1428571428571,False,False,True
2023-03-01,598.0,609.0,587.0,607.0,119500,583.5714285714286,False,False,True
2023-03-02,622.0,655.0,622.0,652.0,257600,593.7142857142857,False,False,True
2023-03-03,672.0,676.0,636.0,656.0,190100,603.0,False,False,False
2023-03-06,686.0,715.0,675.0,705.0,325600,619.8571428571429,False,False,True
2023-03-07,698.0,711.0,673.0,681.0,190900,636.8571428571429,False,False,True
2023-03-08,674.0,695.0,666.0,681.0,127900,654.2857142857143,False,False,True
2023-03-09,675.0,679.0,647.0,655.0,213300,662.4285714285714,False,False,False
2023-03-10,640.0,650.0,626.0,642.0,174800,667.4285714285714,False,False,False
2023-03-13,622.0,640.0,621.0,637.0,96100,665.2857142857143,False,False,False
2023-03-14,627.0,632.0,611.0,618.0,99200,659.8571428571429,False,False,False
2023-03-15,638.0,651.0,625.0,629.0,77900,649.0,False,False,False
2023-03-16,616.0,619.0,597.0,608.0,95000,638.5714285714286,False,False,False
2023-03-17,608.0,652.0,608.0,652.0,130000,634.4285714285714,False,False,False
2023-03-20,642.0,648.0,608.0,613.0,109100,628.4285714285714,False,False,False
2023-03-22,630.0,635.0,616.0,623.0,55500,625.7142857142857,False,False,False
2023-03-23,618.0,655.0,609.0,655.0,75700,628.2857142857143,False,False,False
2023-03-24,655.0,687.0,644.0,686.0,121700,638.0,False,False,False
2023-03-27,677.0,680.0,655.0,657.0,90100,642.0,False,False,False
2023-03-28,652.0,652.0,621.0,624.0,79300,644.2857142857143,False,False,False
2023-03-29,620.0,634.0,604.0,607.0,102900,637.8571428571429,False,False,False
2023-03-30,617.0,626.0,610.0,621.0,62700,639.0,False,False,False
2023-03-31,630.0,644.0,625.0,643.0,44200,641.8571428571429,False,False,False
2023-04-03,643.0,654.0,625.0,630.0,57600,638.2857142857143,False,False,False
2023-04-04,625.0,634.0,608.0,615.0,64200,628.1428571428571,False,False,False
