Date,Open,High,Low,Close,Volume,MA,Drop,Stagnation,Recovery
2022-12-27,291.0,303.0,290.0,297.0,597500,,False,False,False
2022-12-28,297.0,298.0,290.0,295.0,349600,,False,False,False
2022-12-29,292.0,297.0,291.0,296.0,177900,,False,False,False
2022-12-30,296.0,301.0,292.0,292.0,217000,,False,False,False
2023-01-04,292.0,296.0,291.0,291.0,214400,,False,False,False
2023-01-05,289.0,292.0,282.0,290.0,326800,,False,False,False
2023-01-06,289.0,293.0,287.0,289.0,162300,292.85714285714283,False,False,False
2023-01-10,291.0,293.0,284.0,288.0,240400,291.57142857142856,False,False,False
2023-01-11,289.0,302.0,287.0,289.0,261900,290.7142857142857,False,False,False
2023-01-12,294.0,294.0,285.0,291.0,153600,290.0,False,False,False
2023-01-13,291.0,297.0,289.0,292.0,166800,290.0,False,False,False
2023-01-16,290.0,294.0,288.0,291.0,130300,290.0,False,False,False
2023-01-17,294.0,294.0,289.0,291.0,125000,290.14285714285717,False,False,False
2023-01-18,294.0,296.0,286.0,294.0,146900,290.85714285714283,False,False,False
2023-01-19,291.0,293.0,279.0,279.0,272100,289.57142857142856,False,False,False
2023-01-20,283.0,289.0,277.0,281.0,436400,288.42857142857144,False,False,False
2023-01-23,281.0,286.0,279.0,281.0,288000,287.0,False,False,False
2023-01-24,281.0,283.0,279.0,281.0,164600,285.42857142857144,False,False,False
2023-01-25,280.0,282.0,279.0,279.0,164400,283.7142857142857,False,False,False
2023-01-26,280.0,284.0,279.0,283.0,128000,282.57142857142856,False,False,False
2023-01-27,283.0,283.0,279.0,279.0,119800,280.42857142857144,False,False,False
2023-01-30,281.0,281.0,273.0,275.0,250100,279.85714285714283,False,False,False
2023-01-31,274.0,277.0,271.0,276.0,307300,279.14285714285717,False,False,False
2023-02-01,277.0,277.0,273.0,275.0,136800,278.2857142857143,False,False,False
2023-02-02,275.0,280.0,274.0,280.0,167600,278.14285714285717,False,False,False
2023-02-03,279.0,283.0,277.0,282.0,283100,278.57142857142856,False,False,False
2023-02-06,284.0,284.0,280.0,282.0,110700,278.42857142857144,False,False,False
2023-02-07,283.0,299.0,283.0,297.0,330500,281.0,False,False,False
2023-02-08,295.0,310.0,295.0,307.0,452400,285.57142857142856,False,False,False
